Hostname,Check-Host,Port,IPAddress,CPUCore,RAM,Disk,Check-Host-ip
WIN1,WIN2,90,192.168.3.91,2,3.0234375,100,192.168.3.92
WIN2,WIN1,80,192.168.3.92,2,3.0234375,100,192.168.3.91
